config_0,config_1,config_2,config_3
[-4.63886678 -1.69576019  2.31814074  3.88675704 -1.9067551  -2.2555647 ],[ 0.27590772 -0.50860796  1.58020161  5.61781472 -1.0875156   0.41938162],[-4.79441872 -0.68274851  1.17738755 -4.20151632 -5.05092836  4.32438282],[ 3.97740684  5.46703698  2.15374547  1.12586677 -3.85223586 -6.20974882]
[-4.63886678 -1.69576019  2.31814074  3.88675704 -1.9067551  -2.2555647 ],[ 0.27590772 -0.50860796  1.58020161  5.61781472 -1.0875156   0.41938162],[-4.79441872 -0.68274851  1.17738755 -4.20151632 -5.05092836  4.32438282],[ 3.97740684  5.46703698  2.15374547  1.12586677 -3.85223586 -6.20974882]
[-4.63886678 -1.69576019  2.31814074  3.88675704 -1.9067551  -2.2555647 ],[ 0.27590772 -0.50860796  1.58020161  5.61781472 -1.0875156   0.41938162],[-4.79441872 -0.68274851  1.17738755 -4.20151632 -5.05092836  4.32438282],[ 3.97740684  5.46703698  2.15374547  1.12586677 -3.85223586 -6.20974882]
[-4.63886678 -1.69576019  2.31814074  3.88675704 -1.9067551  -2.2555647 ],[ 0.27590772 -0.50860796  1.58020161  5.61781472 -1.0875156   0.41938162],[-4.79441872 -0.68274851  1.17738755 -4.20151632 -5.05092836  4.32438282],[ 3.97740684  5.46703698  2.15374547  1.12586677 -3.85223586 -6.20974882]
[ 1.52994954 -1.80876897  2.30884988 -1.61962301  5.15464777 -2.16024936],[-2.53256519 -2.52228788 -1.89226799 -2.48026518 -3.80896186 -2.78886779],[-4.60579032  5.60097204  1.46260594  2.19301228  1.75693715  5.75895723],[ 4.12001384 -0.71824488  1.88323486  1.3278465   2.58570998 -2.37188124]
[ 1.52994954 -1.80876897  2.30884988 -1.61962301  5.15464777 -2.16024936],[-2.53256519 -2.52228788 -1.89226799 -2.48026518 -3.80896186 -2.78886779],[-4.60579032  5.60097204  1.46260594  2.19301228  1.75693715  5.75895723],[ 4.12001384 -0.71824488  1.88323486  1.3278465   2.58570998 -2.37188124]
[ 1.52994954 -1.80876897  2.30884988 -1.61962301  5.15464777 -2.16024936],[-2.53256519 -2.52228788 -1.89226799 -2.48026518 -3.80896186 -2.78886779],[-4.60579032  5.60097204  1.46260594  2.19301228  1.75693715  5.75895723],[ 4.12001384 -0.71824488  1.88323486  1.3278465   2.58570998 -2.37188124]
[ 1.52994954 -1.80876897  2.30884988 -1.61962301  5.15464777 -2.16024936],[-2.53256519 -2.52228788 -1.89226799 -2.48026518 -3.80896186 -2.78886779],[-4.60579032  5.60097204  1.46260594  2.19301228  1.75693715  5.75895723],[ 4.12001384 -0.71824488  1.88323486  1.3278465   2.58570998 -2.37188124]
[-0.64765405 -1.23182013 -2.39230065 -1.19367312 -4.22207424  4.62689608],[-2.58978997 -2.28198977 -2.14806415 -1.87729096 -3.76457173  4.65908147],[-0.97242991 -2.15666414 -1.60191717 -4.75280777 -2.40742597  1.93285445],[ 4.12688006  5.1440593   1.99651029  4.84326498  3.92366073 -5.88397933]
[-0.64765405 -1.23182013 -2.39230065 -1.19367312 -4.22207424  4.62689608],[-2.58978997 -2.28198977 -2.14806415 -1.87729096 -3.76457173  4.65908147],[-0.97242991 -2.15666414 -1.60191717 -4.75280777 -2.40742597  1.93285445],[ 4.12688006  5.1440593   1.99651029  4.84326498  3.92366073 -5.88397933]
[-0.64765405 -1.23182013 -2.39230065 -1.19367312 -4.22207424  4.62689608],[-2.58978997 -2.28198977 -2.14806415 -1.87729096 -3.76457173  4.65908147],[-0.97242991 -2.15666414 -1.60191717 -4.75280777 -2.40742597  1.93285445],[ 4.12688006  5.1440593   1.99651029  4.84326498  3.92366073 -5.88397933]
[-0.64765405 -1.23182013 -2.39230065 -1.19367312 -4.22207424  4.62689608],[-2.58978997 -2.28198977 -2.14806415 -1.87729096 -3.76457173  4.65908147],[-0.97242991 -2.15666414 -1.60191717 -4.75280777 -2.40742597  1.93285445],[ 4.12688006  5.1440593   1.99651029  4.84326498  3.92366073 -5.88397933]
[-0.64765405 -1.23182013 -2.39230065 -1.19367312 -4.22207424  4.62689608],[-2.58978997 -2.28198977 -2.14806415 -1.87729096 -3.76457173  4.65908147],[-0.97242991 -2.15666414 -1.60191717 -4.75280777 -2.40742597  1.93285445],[ 4.12688006  5.1440593   1.99651029  4.84326498  3.92366073 -5.88397933]
[-0.64765405 -1.23182013 -2.39230065 -1.19367312 -4.22207424  4.62689608],[-2.58978997 -2.28198977 -2.14806415 -1.87729096 -3.76457173  4.65908147],[-0.97242991 -2.15666414 -1.60191717 -4.75280777 -2.40742597  1.93285445],[ 4.12688006  5.1440593   1.99651029  4.84326498  3.92366073 -5.88397933]
[-4.83284004  4.62423663  2.2284418   3.56187862 -1.42578486  2.89860935],[-5.8699609  -0.52647038  1.37676872  5.89216989  5.46105256 -5.70561767],[-4.8218897   5.00375669  1.43397437  4.82787205  4.92765088  2.56850738],[-2.5327364   4.79123018  2.78457109  4.22506973  3.713087    2.82701424]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
