config_0,config_1,config_2,config_3
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-4.61881151 -1.26590311  1.50332145  0.91752124  1.7983919  -5.71010398],[ 0.45780949 -0.58658775  1.49001535  5.75492203  5.4005442   0.52112831],[-4.70294608 -1.2461496   1.36215947  4.90123739 -1.54664329  3.09851993],[-2.76801591  5.22270774  2.4056817   5.17811619 -2.36864136 -4.70460023]
[-3.42299386 -1.84322437  2.07568091  5.02844594  4.40435444  2.98772889],[5.4659555  5.22243811 2.63429881 4.37771338 4.4243277  5.12066927],[-3.73650719  4.42507253  2.17060658  4.08446928 -0.89979745  6.1900621 ],[ 1.36216083 -3.00656363 -0.61371206 -2.24719799 -5.09685599 -6.07728224]
[-3.42299386 -1.84322437  2.07568091  5.02844594  4.40435444  2.98772889],[5.4659555  5.22243811 2.63429881 4.37771338 4.4243277  5.12066927],[-3.73650719  4.42507253  2.17060658  4.08446928 -0.89979745  6.1900621 ],[ 1.36216083 -3.00656363 -0.61371206 -2.24719799 -5.09685599 -6.07728224]
[-3.42299386 -1.84322437  2.07568091  5.02844594  4.40435444  2.98772889],[5.4659555  5.22243811 2.63429881 4.37771338 4.4243277  5.12066927],[-3.73650719  4.42507253  2.17060658  4.08446928 -0.89979745  6.1900621 ],[ 1.36216083 -3.00656363 -0.61371206 -2.24719799 -5.09685599 -6.07728224]
[-3.42299386 -1.84322437  2.07568091  5.02844594  4.40435444  2.98772889],[5.4659555  5.22243811 2.63429881 4.37771338 4.4243277  5.12066927],[-3.73650719  4.42507253  2.17060658  4.08446928 -0.89979745  6.1900621 ],[ 1.36216083 -3.00656363 -0.61371206 -2.24719799 -5.09685599 -6.07728224]
[-3.42299386 -1.84322437  2.07568091  5.02844594  4.40435444  2.98772889],[5.4659555  5.22243811 2.63429881 4.37771338 4.4243277  5.12066927],[-3.73650719  4.42507253  2.17060658  4.08446928 -0.89979745  6.1900621 ],[ 1.36216083 -3.00656363 -0.61371206 -2.24719799 -5.09685599 -6.07728224]
[-3.42299386 -1.84322437  2.07568091  5.02844594  4.40435444  2.98772889],[5.4659555  5.22243811 2.63429881 4.37771338 4.4243277  5.12066927],[-3.73650719  4.42507253  2.17060658  4.08446928 -0.89979745  6.1900621 ],[ 1.36216083 -3.00656363 -0.61371206 -2.24719799 -5.09685599 -6.07728224]
